#k i j q boundname
9 119 71 -39204.1 usgs_s_2040
11 119 71 -27409 usgs_s_2048
10 120 70 -32136.8 usgs_s_2063
12 153 21 -131368 usgs_s_2106
11 153 21 -169159 usgs_s_2119
13 119 71 -80453.4 usgs_s_2123
14 147 59 -193503 usgs_s_2157
11 147 59 -42751 usgs_s_2178
5 172 54 -52148.8 usgs_s_2219
14 120 70 -23189.1 usgs_s_2232
12 145 59 -46890.7 usgs_s_2233
8 81 75 -7918.34 usgs_s_2491
8 81 78 -6225.06 usgs_s_2493
12 71 21 -63819.1 usgs_s_2499
14 71 23 -63667.6 usgs_s_2500
7 103 39 -76353.9 usgs_s_2504
7 103 39 -80783.2 usgs_s_2505
15 71 23 -59643.8 usgs_s_2512
14 103 39 -64585.5 usgs_s_2513
13 79 75 -86798.8 usgs_s_2530
