#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -445.027 gwf_0-102-1001
1 30 26 -0 gwf_0-108-1004
1 19 34 -1935.35 gwf_0-97-1012
2 13 41 -4453.89 gwf_1-91-1019
2 14 45 -1862.9 gwf_1-92-1023
2 14 45 -1862.9 gwf_1-92-1023
2 15 44 -827.957 gwf_1-93-1022
2 15 45 -827.957 gwf_1-93-1023
2 15 45 -1086.69 gwf_1-93-1023
2 17 40 -0 gwf_1-95-1018
2 17 40 -0 gwf_1-95-1018
2 17 41 -4766.44 gwf_1-95-1019
2 17 41 -4769.87 gwf_1-95-1019
2 17 41 -3535.38 gwf_1-95-1019
2 18 40 -0 gwf_1-96-1018
2 19 34 -2990.99 gwf_1-97-1012
