#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -887.984 gwf_0-102-1001
1 30 26 -0 gwf_0-108-1004
1 19 34 -4175.23 gwf_0-97-1012
2 13 41 -0 gwf_1-91-1019
2 14 45 -1155 gwf_1-92-1023
2 14 45 -1155 gwf_1-92-1023
2 15 44 -1142.58 gwf_1-93-1022
2 15 45 -1030.81 gwf_1-93-1023
2 15 45 -1043.23 gwf_1-93-1023
2 17 40 -0 gwf_1-95-1018
2 17 40 -0 gwf_1-95-1018
2 17 41 -1784.51 gwf_1-95-1019
2 17 41 -1826.25 gwf_1-95-1019
2 17 41 -1784.51 gwf_1-95-1019
2 18 40 -0 gwf_1-96-1018
2 19 34 -3373.92 gwf_1-97-1012
