#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -569.766 gwf_0-102-1001
1 30 26 -0 gwf_0-108-1004
1 19 34 -4087.19 gwf_0-97-1012
2 13 41 -0 gwf_1-91-1019
2 14 45 -1446.61 gwf_1-92-1023
2 14 45 -1460.94 gwf_1-92-1023
2 15 44 -1460.94 gwf_1-93-1022
2 15 45 -973.958 gwf_1-93-1023
2 15 45 -973.958 gwf_1-93-1023
2 17 40 -0 gwf_1-95-1018
2 17 40 -0 gwf_1-95-1018
2 17 41 -1975.7 gwf_1-95-1019
2 17 41 -1498.29 gwf_1-95-1019
2 17 41 -1837.06 gwf_1-95-1019
2 18 40 -0 gwf_1-96-1018
2 19 34 -3899.27 gwf_1-97-1012
