#k i j q boundname
1 24 23 -599.156 gwf_0-102-1001
1 24 23 -1007.59 gwf_0-102-1001
1 30 26 -131.115 gwf_0-108-1004
1 19 34 -7454.15 gwf_0-97-1012
2 13 41 -336.291 gwf_1-91-1019
2 14 45 -3446.7 gwf_1-92-1023
2 14 45 -3682.61 gwf_1-92-1023
2 15 44 -2357.97 gwf_1-93-1022
2 15 45 -2221.99 gwf_1-93-1023
2 15 45 -2017.41 gwf_1-93-1023
2 17 40 -1433.43 gwf_1-95-1018
2 17 40 -1438.06 gwf_1-95-1018
2 17 41 -3992.39 gwf_1-95-1019
2 17 41 -4050.49 gwf_1-95-1019
2 17 41 -4033.76 gwf_1-95-1019
2 18 40 -5187.13 gwf_1-96-1018
2 19 34 -4361.92 gwf_1-97-1012
