#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -1190.29 gwf_0-102-1001
1 30 26 -43.669 gwf_0-108-1004
1 19 34 -4197.03 gwf_0-97-1012
2 13 41 -0 gwf_1-91-1019
2 14 45 -1558.98 gwf_1-92-1023
2 14 45 -1558.98 gwf_1-92-1023
2 15 44 -1545.88 gwf_1-93-1022
2 15 45 -1441.08 gwf_1-93-1023
2 15 45 -1467.28 gwf_1-93-1023
2 17 40 -0 gwf_1-95-1018
2 17 40 -0 gwf_1-95-1018
2 17 41 -2105.2 gwf_1-95-1019
2 17 41 -2318.27 gwf_1-95-1019
2 17 41 -2139.16 gwf_1-95-1019
2 18 40 -2792.14 gwf_1-96-1018
2 19 34 -3705.89 gwf_1-97-1012
