1 12 54 -1.290 0.000 27.119
1 12 55 -2.070 0.000 27.119
1 13 54 -1.290 0.000 27.119
1 13 55 -2.650 0.000 27.119
1 14 53 -1.290 0.000 27.119
1 14 54 -1.290 0.000 27.119
1 14 55 -1.650 0.000 27.119
1 15 54 -1.290 0.000 27.119
1 15 55 -1.290 0.000 27.119
1 17 50 -1.290 0.000 27.119
1 18 50 -1.290 0.000 27.119
1 19 50 -1.290 0.000 27.119
1 19 51 -1.290 0.000 27.119
1 20 48 -1.290 0.000 27.119
1 20 49 -1.290 0.000 27.119
1 20 50 -1.290 0.000 27.119
1 21 37 -1.290 0.000 27.119
1 21 50 -1.290 0.000 27.119
1 22 38 -1.290 0.000 27.119
1 22 49 -1.290 0.000 27.119
1 23 33 -1.290 0.000 27.119
1 23 34 -1.290 0.000 27.119
1 23 39 -1.290 0.000 27.119
1 23 46 -1.290 0.000 27.119
1 23 47 -1.290 0.000 27.119
1 24 33 -1.290 0.000 27.119
1 24 34 -1.290 0.000 27.119
1 24 39 -1.290 0.000 27.119
1 25 33 -1.290 0.000 27.119
1 25 39 -1.290 0.000 27.119
1 26 32 -1.290 0.000 27.119
1 26 33 -1.290 0.000 27.119
1 26 34 -1.290 0.000 27.119
1 26 39 -1.290 0.000 27.119
1 26 40 -1.290 0.000 27.119
1 26 41 -1.290 0.000 27.119
1 27 33 -1.290 0.000 27.119
1 27 34 -2.440 0.000 27.119
1 27 35 -1.290 0.000 27.119
1 27 39 -1.290 0.000 27.119
1 27 40 -4.590 0.000 27.119
1 27 41 -7.940 0.000 27.119
1 33 1 -4.510 0.000 27.119
1 33 2 -1.420 0.000 27.119
1 34 1 -3.830 0.000 27.119
1 34 2 -5.740 0.000 27.119
1 34 3 -3.150 0.000 27.119
1 34 18 -1.290 0.000 27.119
1 35 2 -4.020 0.000 27.119
1 35 3 -6.080 0.000 27.119
1 35 4 -3.280 0.000 27.119
1 36 3 -3.480 0.000 27.119
1 36 4 -5.510 0.000 27.119
1 36 5 -1.290 0.000 27.119
1 37 4 -4.630 0.000 27.119
1 37 5 -3.880 0.000 27.119
1 37 6 -1.290 0.000 27.119
1 38 5 -3.600 0.000 27.119
1 38 6 -2.330 0.000 27.119
1 39 5 -1.410 0.000 27.119
1 39 6 -3.220 0.000 27.119
1 39 7 -1.330 0.000 27.119
1 40 6 -1.290 0.000 27.119
1 40 11 -1.290 0.000 27.119
1 41 11 -1.290 0.000 27.119
1 41 12 -1.290 0.000 27.119
1 42 6 -1.290 0.000 27.119
1 42 11 -1.290 0.000 27.119
1 42 12 -1.310 0.000 27.119
1 43 11 -4.700 0.000 27.119
1 43 12 -7.700 0.000 27.119
1 43 13 -5.400 0.000 27.119
