time,USGS_S_2040,USGS_S_2048,USGS_S_2063,USGS_S_2106,USGS_S_2119,USGS_S_2123,USGS_S_2157,USGS_S_2178,USGS_S_2219,USGS_S_2232,USGS_S_2233,USGS_S_2491,USGS_S_2493,USGS_S_2499,USGS_S_2500,USGS_S_2504,USGS_S_2505,USGS_S_2512,USGS_S_2513,USGS_S_2530
91.47869674185,-31391.40000000000,-36045.90000000000,-48577.70000000000,-110334.0000000000,-135287.0000000000,-46732.00000000000,-112091.0000000000,-22338.80000000000,-35975.20000000000,-23588.20000000000,-22578.30000000000,-7876.940000000000,-4939.310000000000,-40925.00000000000,-41513.90000000000,-33045.00000000000,-36646.60000000000,-55292.90000000000,-58685.30000000000,-77937.89999999999
210.4010025063,-31391.40000000000,-36045.90000000000,-48577.70000000000,-110334.0000000000,-135287.0000000000,-46732.00000000000,-112091.0000000000,-22338.80000000000,-35975.20000000000,-23588.20000000000,-22578.30000000000,-7876.940000000000,-4939.310000000000,-40925.00000000000,-41513.90000000000,-33045.00000000000,-36646.60000000000,-55292.90000000000,-58685.30000000000,-77937.89999999999
365.0000000000,-31391.40000000000,-36045.90000000000,-48577.70000000000,-110334.0000000000,-135287.0000000000,-46732.00000000000,-112091.0000000000,-22338.80000000000,-35975.20000000000,-23588.20000000000,-22578.30000000000,-7876.940000000000,-4939.310000000000,-40925.00000000000,-41513.90000000000,-33045.00000000000,-36646.60000000000,-55292.90000000000,-58685.30000000000,-77937.89999999999
366.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
367.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
368.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
369.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
370.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
371.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
372.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
373.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
374.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
375.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
376.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
377.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
378.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
379.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
380.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
381.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
382.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
383.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
384.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
385.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
386.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
387.0000000000,-17650.10000000000,-25757.20000000000,-31686.60000000000,-94943.39999999999,-131572.0000000000,-36076.50000000000,-51385.10000000000,-7805.220000000000,-20030.50000000000,-10384.00000000000,.000000000000000,-1030.630000000000,-1793.910000000000,-11513.80000000000,-10823.80000000000,.000000000000000,.000000000000000,-14967.90000000000,-9844.930000000000,-62359.80000000000
