#k i j q boundname
9 119 71 -60396.9 usgs_s_2040
11 119 71 -58489.7 usgs_s_2048
10 120 70 -62914.5 usgs_s_2063
12 153 21 -171517 usgs_s_2106
11 153 21 -126564 usgs_s_2119
13 119 71 -97061 usgs_s_2123
14 147 59 -239444 usgs_s_2157
11 147 59 -44203.7 usgs_s_2178
5 172 54 -95091.4 usgs_s_2219
14 120 70 -35527.8 usgs_s_2232
12 145 59 -59274 usgs_s_2233
8 81 75 -18274.1 usgs_s_2491
8 81 78 -21562.7 usgs_s_2493
12 71 21 -83871.2 usgs_s_2499
14 71 23 -69059.4 usgs_s_2500
7 103 39 -98473.6 usgs_s_2504
7 103 39 -97230.3 usgs_s_2505
15 71 23 -108705 usgs_s_2512
14 103 39 -104489 usgs_s_2513
13 79 75 -132999 usgs_s_2530
