#k i j q boundname
9 119 71 -17650.1 usgs_s_2040
11 119 71 -25757.2 usgs_s_2048
10 120 70 -31686.6 usgs_s_2063
12 153 21 -94943.4 usgs_s_2106
11 153 21 -131572 usgs_s_2119
13 119 71 -36076.5 usgs_s_2123
14 147 59 -51385.1 usgs_s_2157
11 147 59 -7805.22 usgs_s_2178
5 172 54 -20030.5 usgs_s_2219
14 120 70 -10384 usgs_s_2232
12 145 59 -0 usgs_s_2233
8 81 75 -1030.63 usgs_s_2491
8 81 78 -1793.91 usgs_s_2493
12 71 21 -11513.8 usgs_s_2499
14 71 23 -10823.8 usgs_s_2500
7 103 39 -0 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -14967.9 usgs_s_2512
14 103 39 -9844.93 usgs_s_2513
13 79 75 -62359.8 usgs_s_2530
