#k i j q boundname
9 119 71 -29487.3 usgs_s_2040
11 119 71 -22096.1 usgs_s_2048
10 120 70 -26960.3 usgs_s_2063
12 153 21 -88289.5 usgs_s_2106
11 153 21 -147993 usgs_s_2119
13 119 71 -37465.1 usgs_s_2123
14 147 59 -37340 usgs_s_2157
11 147 59 -9064.4 usgs_s_2178
5 172 54 -10353.8 usgs_s_2219
14 120 70 -17344 usgs_s_2232
12 145 59 -0 usgs_s_2233
8 81 75 -2479.56 usgs_s_2491
8 81 78 -2246.7 usgs_s_2493
12 71 21 -4424.4 usgs_s_2499
14 71 23 -2432.12 usgs_s_2500
7 103 39 -0 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -3833.61 usgs_s_2512
14 103 39 -5976.81 usgs_s_2513
13 79 75 -49267.8 usgs_s_2530
