#k i j q boundname
9 119 71 -31391.4 usgs_s_2040
11 119 71 -36045.9 usgs_s_2048
10 120 70 -48577.7 usgs_s_2063
12 153 21 -110334 usgs_s_2106
11 153 21 -135287 usgs_s_2119
13 119 71 -46732 usgs_s_2123
14 147 59 -112091 usgs_s_2157
11 147 59 -22338.8 usgs_s_2178
5 172 54 -35975.2 usgs_s_2219
14 120 70 -23588.2 usgs_s_2232
12 145 59 -22578.3 usgs_s_2233
8 81 75 -7876.94 usgs_s_2491
8 81 78 -4939.31 usgs_s_2493
12 71 21 -40925 usgs_s_2499
14 71 23 -41513.9 usgs_s_2500
7 103 39 -33045 usgs_s_2504
7 103 39 -36646.6 usgs_s_2505
15 71 23 -55292.9 usgs_s_2512
14 103 39 -58685.3 usgs_s_2513
13 79 75 -77937.9 usgs_s_2530
