#k i j q boundname
9 119 71 -72019.3 usgs_s_2040
11 119 71 -71001.6 usgs_s_2048
10 120 70 -79975.5 usgs_s_2063
12 153 21 -144897 usgs_s_2106
11 153 21 -199887 usgs_s_2119
13 119 71 -122318 usgs_s_2123
14 147 59 -239086 usgs_s_2157
11 147 59 -58233 usgs_s_2178
5 172 54 -133249 usgs_s_2219
14 120 70 -42842.5 usgs_s_2232
12 145 59 -55451.6 usgs_s_2233
8 81 75 -27150.1 usgs_s_2491
8 81 78 -25360.5 usgs_s_2493
12 71 21 -162374 usgs_s_2499
14 71 23 -54278.6 usgs_s_2500
7 103 39 -96366.4 usgs_s_2504
7 103 39 -117591 usgs_s_2505
15 71 23 -72692 usgs_s_2512
14 103 39 -105043 usgs_s_2513
13 79 75 -163164 usgs_s_2530
