#k i j q boundname
9 119 71 -11763.9 usgs_s_2040
11 119 71 -20887.6 usgs_s_2048
10 120 70 -25690.5 usgs_s_2063
12 153 21 -91012.6 usgs_s_2106
11 153 21 -136063 usgs_s_2119
13 119 71 -49824.7 usgs_s_2123
14 147 59 -36776.5 usgs_s_2157
11 147 59 -8541.23 usgs_s_2178
5 172 54 -10493.9 usgs_s_2219
14 120 70 -7061.2 usgs_s_2232
12 145 59 -0 usgs_s_2233
8 81 75 -926.215 usgs_s_2491
8 81 78 -1260.42 usgs_s_2493
12 71 21 -9405.38 usgs_s_2499
14 71 23 -6927.52 usgs_s_2500
7 103 39 -0 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -7409.72 usgs_s_2512
14 103 39 -9963.98 usgs_s_2513
13 79 75 -52035.2 usgs_s_2530
