#k i j q boundname
9 119 71 -18732.5 usgs_s_2040
11 119 71 -17611.3 usgs_s_2048
10 120 70 -25757.2 usgs_s_2063
12 153 21 -89816.1 usgs_s_2106
11 153 21 -140891 usgs_s_2119
13 119 71 -24191.9 usgs_s_2123
14 147 59 -26154 usgs_s_2157
11 147 59 -8197.64 usgs_s_2178
5 172 54 -10405.5 usgs_s_2219
14 120 70 -11017.9 usgs_s_2232
12 145 59 -0 usgs_s_2233
8 81 75 -629.592 usgs_s_2491
8 81 78 -1138.44 usgs_s_2493
12 71 21 -12475.4 usgs_s_2499
14 71 23 -7188.56 usgs_s_2500
7 103 39 -0 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -6813.4 usgs_s_2512
14 103 39 -9159.27 usgs_s_2513
13 79 75 -44852 usgs_s_2530
