#k i j q boundname
9 119 71 -28784.4 usgs_s_2040
11 119 71 -26701.6 usgs_s_2048
10 120 70 -26054.8 usgs_s_2063
12 153 21 -114586 usgs_s_2106
11 153 21 -132464 usgs_s_2119
13 119 71 -43946.4 usgs_s_2123
14 147 59 -102848 usgs_s_2157
11 147 59 -8038.08 usgs_s_2178
5 172 54 -26951.7 usgs_s_2219
14 120 70 -16930 usgs_s_2232
12 145 59 -13428.4 usgs_s_2233
8 81 75 -1254.87 usgs_s_2491
8 81 78 -1362.68 usgs_s_2493
12 71 21 -27650.3 usgs_s_2499
14 71 23 -27878.9 usgs_s_2500
7 103 39 -34920.8 usgs_s_2504
7 103 39 -38581.9 usgs_s_2505
15 71 23 -30285.1 usgs_s_2512
14 103 39 -38974.4 usgs_s_2513
13 79 75 -70328.9 usgs_s_2530
