#k i j q boundname
9 119 71 -15114.8 usgs_s_2040
11 119 71 -23911 usgs_s_2048
10 120 70 -20809.6 usgs_s_2063
12 153 21 -110572 usgs_s_2106
11 153 21 -126676 usgs_s_2119
13 119 71 -28500.7 usgs_s_2123
14 147 59 -17195.8 usgs_s_2157
11 147 59 -7962.91 usgs_s_2178
5 172 54 -9148.21 usgs_s_2219
14 120 70 -8889.76 usgs_s_2232
12 145 59 -1621.99 usgs_s_2233
8 81 75 -1483.85 usgs_s_2491
8 81 78 -1154.11 usgs_s_2493
12 71 21 -39587.3 usgs_s_2499
14 71 23 -240.625 usgs_s_2500
7 103 39 -0 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -0 usgs_s_2512
14 103 39 -15453.5 usgs_s_2513
13 79 75 -38869.8 usgs_s_2530
