#k i j q boundname
9 119 71 -42448 usgs_s_2040
11 119 71 -39529.3 usgs_s_2048
10 120 70 -48294.3 usgs_s_2063
12 153 21 -130258 usgs_s_2106
11 153 21 -170648 usgs_s_2119
13 119 71 -80970.3 usgs_s_2123
14 147 59 -216104 usgs_s_2157
11 147 59 -51324.4 usgs_s_2178
5 172 54 -89534.8 usgs_s_2219
14 120 70 -24967.1 usgs_s_2232
12 145 59 -52037.4 usgs_s_2233
8 81 75 -10560.8 usgs_s_2491
8 81 78 -10057.2 usgs_s_2493
12 71 21 -171993 usgs_s_2499
14 71 23 -27043.6 usgs_s_2500
7 103 39 -97604.6 usgs_s_2504
7 103 39 -83933.6 usgs_s_2505
15 71 23 -37038.4 usgs_s_2512
14 103 39 -87431.5 usgs_s_2513
13 79 75 -121159 usgs_s_2530
