1 19 28 0.000 945.770 27.119 drn
1 19 26 0.000 719.922 27.119 drn
1 20 29 0.000 945.770 27.119 drn
1 20 28 0.000 945.770 27.119 drn
1 29 39 0.000 945.770 27.119 drn
1 30 42 0.000 945.770 27.119 drn
1 30 41 0.000 945.770 27.119 drn
1 41 9 1.510 1220.886 27.119 drn
1 42 17 0.250 1003.027 27.119 drn
1 42 9 4.800 905.439 27.119 drn
1 42 8 4.720 1014.050 27.119 drn
1 42 7 4.470 801.268 27.119 drn
1 42 6 8.770 267.090 27.119 drn
1 43 20 8.350 993.070 27.119 drn
1 43 19 3.550 809.556 27.119 drn
1 43 16 0.250 992.856 27.119 drn
1 44 19 6.710 732.088 27.119 drn
1 44 15 0.830 1009.411 27.119 drn
1 51 13 15.750 922.106 27.119 drn
1 52 13 21.060 969.443 27.119 drn
1 53 14 17.480 1086.045 0.000 drn
1 54 14 19.720 1047.844 0.000 drn
1 55 14 19.440 854.836 0.000 drn
1 56 13 22.350 821.716 0.000 drn
1 57 13 21.120 948.481 0.000 drn
1 58 12 23.990 487.419 0.000 drn
1 59 11 29.200 703.358 0.000 drn
1 70 62 6.881 945.770 0.000 "mill creek"
1 70 61 7.290 945.770 0.000 "mill creek"
1 71 60 11.892 945.770 0.000 "mill creek"
1 72 59 20.280 945.770 0.000 "mill creek"
1 72 58 27.620 945.770 0.000 "mill creek"
1 73 57 51.900 945.770 0.000 "mill creek"
1 74 56 84.990 945.770 0.000 "mill creek"
1 74 55 106.570 945.770 0.000 "mill creek"
