#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -1205.8 gwf_0-102-1001
1 30 26 -87.338 gwf_0-108-1004
1 19 34 -7953.19 gwf_0-97-1012
2 13 41 -6667.72 gwf_1-91-1019
2 14 45 -4107.74 gwf_1-92-1023
2 14 45 -4095.44 gwf_1-92-1023
2 15 44 -2914.77 gwf_1-93-1022
2 15 45 -2927.07 gwf_1-93-1023
2 15 45 -2927.07 gwf_1-93-1023
2 17 40 -1842.92 gwf_1-95-1018
2 17 40 -1842.92 gwf_1-95-1018
2 17 41 -6586.17 gwf_1-95-1019
2 17 41 -7425.32 gwf_1-95-1019
2 17 41 -5800.67 gwf_1-95-1019
2 18 40 -5584.28 gwf_1-96-1018
2 19 34 -7872.45 gwf_1-97-1012
