#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -702.358 gwf_0-102-1001
1 30 26 -0 gwf_0-108-1004
1 19 34 -3705.63 gwf_0-97-1012
2 13 41 -4131.53 gwf_1-91-1019
2 14 45 -1912.17 gwf_1-92-1023
2 14 45 -1925 gwf_1-92-1023
2 15 44 -1719.67 gwf_1-93-1022
2 15 45 -1732.5 gwf_1-93-1023
2 15 45 -1745.33 gwf_1-93-1023
2 17 40 -370.563 gwf_1-95-1018
2 17 40 -404.25 gwf_1-95-1018
2 17 41 -3065.56 gwf_1-95-1019
2 17 41 -5298.17 gwf_1-95-1019
2 17 41 -3941.44 gwf_1-95-1019
2 18 40 -0 gwf_1-96-1018
2 19 34 -4446.75 gwf_1-97-1012
