time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
91.47869674185,-54868.32825155086,-44756.32248904411,-54760.85835907938,-33214.38342270063,-34057.70608753555,-19510.87136455878,.000000000000000,.000000000000000
210.4010025063,-52437.24919890681,-42094.34998819553,-50462.07883781495,-29391.07286502836,-30259.81724791719,-16377.73683694511,.000000000000000,.000000000000000
365.0000000000,-51943.85072053910,-41668.32646223842,-49814.35166910871,-28780.29625292451,-29621.55016300966,-15777.92556934475,.000000000000000,.000000000000000
366.0000000000,-51743.82922556827,-41418.21896143880,-49544.30018243564,-28526.17682155408,-29361.17328696545,-15526.83100516076,.000000000000000,.000000000000000
367.0000000000,-51660.25981789742,-41290.41722418351,-49380.31057533286,-28379.89444244104,-29214.00623160909,-15393.56917633460,.000000000000000,.000000000000000
368.0000000000,-51611.12697642286,-41206.91371065973,-49258.79101038535,-28274.44869012870,-29108.83309402243,-15303.04818477196,.000000000000000,.000000000000000
369.0000000000,-51570.89900329006,-41141.18821522890,-49157.28610578384,-28186.51321924632,-29020.98785895217,-15229.04587401488,.000000000000000,.000000000000000
370.0000000000,-51531.70126255038,-41083.65251720972,-49067.00776008921,-28107.49477953158,-28941.55375980213,-15162.22496420512,.000000000000000,.000000000000000
371.0000000000,-51491.28078287285,-41030.53618821250,-48984.00646199774,-28033.93968638348,-28867.08212103046,-15099.15265773807,.000000000000000,.000000000000000
372.0000000000,-51449.18412539542,-40980.19471841272,-48906.22159253866,-27964.27856665876,-28796.09959991710,-15038.49944674136,.000000000000000,.000000000000000
373.0000000000,-51405.48955589435,-40931.79897232169,-48832.41504877693,-27897.68364466862,-28727.90648525376,-14979.79262746760,.000000000000000,.000000000000000
374.0000000000,-51989.40444787049,-41500.52797483504,-49342.20566326425,-28362.91680066472,-29177.74193339594,-15415.11603311507,.000000000000000,.000000000000000
375.0000000000,-51639.22545651832,-41160.86807270522,-49054.83617442596,-28076.84108203856,-28892.87094529644,-15129.42824881393,.000000000000000,.000000000000000
376.0000000000,-53789.05691066902,-43322.84732770968,-51137.91620772968,-29990.83852340619,-30768.87354759920,-16910.67516759218,.000000000000000,.000000000000000
377.0000000000,-55053.59640488559,-44583.19385094001,-52628.42746099141,-31289.11694766890,-32037.75792488294,-18052.43580451605,.000000000000000,.000000000000000
378.0000000000,-53347.59418581869,-42933.49737180353,-51252.04490642494,-29923.73914124860,-30680.15445776247,-16673.87632440578,.000000000000000,.000000000000000
379.0000000000,-52731.16540011403,-42276.52656272731,-50631.16955526669,-29352.23060028092,-30121.19418176488,-16130.26433455164,.000000000000000,.000000000000000
380.0000000000,-52477.69896354940,-41971.63862922746,-50290.34036707176,-29066.58976315228,-29847.48501448648,-15883.43027408828,.000000000000000,.000000000000000
381.0000000000,-52347.30356189179,-41798.51454401010,-50064.64675826290,-28890.09160763370,-29680.24363472687,-15744.35453589426,.000000000000000,.000000000000000
382.0000000000,-52259.94921715154,-41679.39181881807,-49893.38125870158,-28758.49965946854,-29555.59178900339,-15645.81486917849,.000000000000000,.000000000000000
383.0000000000,-52188.45584095966,-41585.52362287693,-49752.17482317174,-28648.18347348823,-29450.32097237483,-15563.78705604252,.000000000000000,.000000000000000
384.0000000000,-52123.29843294588,-41505.41285777499,-49630.00160295799,-28550.29370923969,-29355.77488097615,-15489.64809315625,.000000000000000,.000000000000000
385.0000000000,-52284.75271964030,-41641.92399434139,-49718.83540113163,-28639.78635770189,-29441.28541118692,-15586.96872236824,.000000000000000,.000000000000000
386.0000000000,-52265.77860991526,-41606.34463800469,-49654.36396921424,-28576.58891261384,-29377.80370091830,-15530.16159259091,.000000000000000,.000000000000000
387.0000000000,-52280.25641698201,-41606.97394803197,-49620.41642762470,-28540.20361287142,-29338.40311717687,-15496.87413136539,.000000000000000,.000000000000000
388.0000000000,-55649.52224580695,-44912.62295229993,-52837.52319623555,-31505.44066116678,-32248.58235138180,-18266.16289413866,.000000000000000,.000000000000000
389.0000000000,-53732.16621510636,-43143.01888213414,-51428.26911328190,-30089.68828864880,-30841.09793219542,-16831.01383247960,.000000000000000,.000000000000000
390.0000000000,-53037.19100146600,-42450.22852427720,-50808.29019870082,-29507.74349593035,-30270.27012805274,-16270.43296868086,.000000000000000,.000000000000000
391.0000000000,-52753.18658419509,-42136.34314367690,-50475.63620397637,-29222.99378498663,-29996.22001607710,-16019.64159743371,.000000000000000,.000000000000000
392.0000000000,-53024.83987394904,-42332.17062608023,-50573.13758314671,-29330.57708717210,-30103.86536096886,-16138.22272940891,.000000000000000,.000000000000000
