,Marina,Marina_norech,ERT-MW-1A,ERT-MW-1A_norech,ERT-MW-1B,ERT-MW-1B_norech,MillCreek,MillCreek_norech,ERT-MW-4B,ERT-MW-4B_norech,MW-PD-17,MW-PD-17_norech
2017-04-02 11:29:19.398496,0.33,0.33,11.91949697783519,11.91949697783519,12.56950957060853,12.56950957060853,9.249064294273232,9.249064294273232,14.32554357404074,14.32554357404074,18.72607921715124,18.72607921715124
2017-07-30 09:37:26.616544,0.33,0.33,11.66126086249777,11.66126086249777,12.32029513513609,12.32029513513609,9.077718265685476,9.077718265685476,14.09835765600006,14.09835765600006,18.40669004224211,18.40669004224211
2018-01-01 00:00:00.000000,0.33,0.33,11.54996403627391,11.54996403627391,12.20938308561338,12.20938308561338,8.999743445270223,8.999743445270223,13.99075818878072,13.99075818878072,18.25508916722809,18.25508916722809
2018-01-02 00:00:00.000000,0.33,0.33,11.53217199944341,11.53217199944341,12.1994913999439,12.1994913999439,8.927261989897445,8.927261989897445,13.98873738748518,13.98873738748518,18.24966792624031,18.24966792624031
2018-01-03 00:00:00.000000,0.33,0.33,11.51531493769611,11.51531493769611,12.18409666987433,12.18409666987433,8.914545050116189,8.914545050116189,13.97498515667501,13.97498515667501,18.23151395639341,18.23151395639341
2018-01-04 00:00:00.000000,0.33,0.33,11.49835944335449,11.49835944335449,12.16796013336593,12.16796013336593,8.902102661112625,8.902102661112625,13.95980226955758,13.95980226955758,18.21210631621299,18.21210631621299
2018-01-05 00:00:00.000000,0.33,0.33,11.48174340827241,11.48174340827241,12.15195310033794,12.15195310033794,8.890032331256863,8.890032331256863,13.94447606632026,13.94447606632026,18.19269800721266,18.19269800721266
2018-01-06 00:00:00.000000,0.33,0.33,11.46551087479068,11.46551087479068,12.13620409951343,12.13620409951343,8.878280097160497,8.878280097160497,13.92922375045577,13.92922375045577,18.17373041004978,18.17373041004978
2018-01-07 00:00:00.000000,0.33,0.33,11.44962595045243,11.44962595045243,12.12069535851476,12.12069535851476,8.866778273652095,8.866778273652095,13.91403780604046,13.91403780604046,18.15482735692474,18.15482735692474
2018-01-08 00:00:00.000000,0.33,0.33,11.43405063882815,11.43405063882815,12.10539934661234,12.10539934661234,8.85547327767375,8.85547327767375,13.89889210197773,13.89889210197773,18.13571875584393,18.13571875584393
2018-01-09 00:00:00.000000,0.33,0.33,11.41877063921375,11.41877063921375,12.09031939449991,12.09031939449991,8.844339065798598,8.844339065798598,13.88382806638664,13.88382806638664,18.11679478239786,18.11679478239786
2018-01-10 00:00:00.000000,0.33,0.33,11.46156578566661,11.46156578566661,12.12434110310157,12.12434110310157,9.029510716583982,9.029510716583982,13.91855740063133,13.91855740063133,18.1414547321638,18.1414547321638
2018-01-11 00:00:00.000000,0.33,0.33,11.42881377979611,11.42881377979611,12.09798078842123,12.09798078842123,8.856943368855372,8.856943368855372,13.89161912330954,13.89161912330954,18.12163974223298,18.12163974223298
2018-01-12 00:00:00.000000,0.33,0.33,11.63388130542832,11.63388130542832,12.27025382994948,12.27025382994948,9.590485534198045,9.590485534198045,14.06590579487383,14.06590579487383,18.27366557648296,18.27366557648296
2018-01-13 00:00:00.000000,0.33,0.33,11.79102235352413,11.79102235352413,12.41499891774046,12.41499891774046,9.8073627432214,9.8073627432214,14.2204574114325,14.2204574114325,18.44678423322838,18.44678423322838
2018-01-14 00:00:00.000000,0.33,0.33,11.69452477773657,11.69452477773657,12.34908004619226,12.34908004619226,9.060043852688917,9.060043852688917,14.15458005369855,14.15458005369855,18.42472001991239,18.42472001991239
2018-01-15 00:00:00.000000,0.33,0.33,11.67030568726082,11.67030568726082,12.32871992460411,12.32871992460411,9.04000596579169,9.04000596579169,14.13639324617385,14.13639324617385,18.40479552185013,18.40479552185013
2018-01-16 00:00:00.000000,0.33,0.33,11.64765049219777,11.64765049219777,12.30922609016878,12.30922609016878,9.022233393610962,9.022233393610962,14.11861467523559,14.11861467523559,18.38487816131347,18.38487816131347
2018-01-17 00:00:00.000000,0.33,0.33,11.62618981083736,11.62618981083736,12.29037573277517,12.29037573277517,9.005878778001932,9.005878778001932,14.10112148878975,14.10112148878975,18.36509277341366,18.36509277341366
