,Marina,ERT-MW-1A,ERT-MW-1B,MillCreek,ERT-MW-4B,MW-PD-17
2018-09-24 13:30:00.000000,-0.3372069489244344,11.96910489083536,12.66146469878512,9.211717608310245,14.50420041603629,18.83984994227138
2018-09-24 13:45:00.000003,-0.7395216900569259,11.9255466311803,12.60832823959889,9.14127854303378,14.46325486501663,18.83036215092877
2018-09-24 13:59:59.999997,-1.124823328390068,11.88271138108697,12.55560615081198,9.073019493108088,14.42242602598749,18.82064529689305
2018-09-24 14:15:00.000000,-1.49620825666109,11.84133071736811,12.50403838710459,9.007731108193283,14.38220558800249,18.81083468699424
2018-09-24 14:30:00.000003,-1.837255832718076,11.80329306907318,12.4552736737761,8.949197916066602,14.34368259702639,18.8011082560421
2018-09-24 14:44:59.999997,-2.154998910844117,11.76776975462582,12.40921564629675,8.895531064766935,14.30723173251103,18.79160891564694
2018-09-24 15:00:00.000000,-2.440925169853195,11.73487780196227,12.36617915212289,8.846683738515457,14.27304932492121,18.7824435878467
2018-09-24 15:15:00.000003,-2.696190293599934,11.70469141516187,12.32638144968035,8.80252984727572,14.24129124457442,18.77369977113961
2018-09-24 15:29:59.999997,-2.916181260926131,11.67751706721779,12.29019798789853,8.76365938754012,14.2122441179264,18.76546244864801
2018-09-24 15:45:00.000000,-3.095155027112481,11.65378687401707,12.25812986957068,8.730887611557621,14.18629434553358,18.75782218918128
2018-09-24 16:00:00.000003,-3.23625575118924,11.63357632954281,12.23037845918795,8.70402515156759,14.16362692966103,18.75085389240702
2018-09-24 16:14:59.999997,-3.32465580733122,11.61768441117886,12.20775628461906,8.684879716519758,14.14481955813975,18.74465743031642
2018-09-24 16:30:00.000000,-3.364179081368469,11.60622989560832,12.19054713610601,8.673296500336521,14.13014769246477,18.73932123126862
2018-09-24 16:45:00.000003,-3.337563472439121,11.60015476104118,12.17972589415429,8.671391416003607,14.12031685294722,18.73496545306987
2018-09-24 16:59:59.999997,-3.232842983222914,11.60045598167907,12.17642902553137,8.680993061526703,14.11617708525553,18.73174264315554
2018-09-24 17:15:00.000000,-3.055594782711918,11.60741328979838,12.18119546565979,8.701887128129483,14.11816831214693,18.72978922880396
2018-09-24 17:30:00.000003,-2.79694595400484,11.62164800607359,12.19477368896288,8.73522975819366,14.12686457456127,18.72924615919238
2018-09-24 17:44:59.999997,-2.478070342128212,11.64238820066762,12.2166377036093,8.778714356413776,14.1420152872046,18.73017878255326
2018-09-24 18:00:00.000000,-2.111420629795306,11.66888979903532,12.24610130117506,8.830594061619713,14.16313038733506,18.73258734838594
2018-09-24 18:15:00.000003,-1.713580202592979,11.70005967442282,12.28202286976614,8.88858741676713,14.18940208527914,18.73639977533425
2018-09-24 18:29:59.999997,-1.299414411074041,11.73500989676783,12.32324854737251,8.950957158565206,14.21991241263584,18.74148683374205
2018-09-24 18:45:00.000000,-0.8690918698233288,11.77545698535294,12.370289886781,9.02104805080525,14.25447863261157,18.74773997798355
2018-09-24 19:00:00.000003,-0.4288480499556674,11.81817086236375,12.42085496167567,9.093286421793007,14.2920113696229,18.7549894284769
2018-09-24 19:14:59.999997,0.0118147928557303,11.86232697874054,12.4738028351407,9.166597769928169,14.3316433026249,18.76305472258291
2018-09-24 19:30:00.000000,0.4432346701136658,11.90695262413494,12.52797405830113,9.239335185247468,14.37249936193498,18.77174630107918
2018-09-24 19:45:00.000003,0.8543686529798946,11.95098187431075,12.58211339600676,9.309691010094815,14.41363589983503,18.78086107412198
2018-09-24 19:59:59.999997,1.278140086693119,11.99609971447388,12.63735420579162,9.381830504201606,14.45552991313241,18.79031156117371
2018-09-24 20:15:00.000000,1.663321420626409,12.04018564171238,12.69206411034474,9.451045659561677,14.49807128366249,18.80004224156498
2018-09-24 20:30:00.000003,2.043988687615479,12.08334987649788,12.7458024023773,9.518246168372892,14.53971538636093,18.80984992399343
2018-09-24 20:44:59.999997,2.393938395544173,12.12439155205716,12.79741033465268,9.580829452958074,14.57970194310633,18.81955434438728
2018-09-24 21:00:00.000000,2.724235942990081,12.16384553840839,12.84711732652834,9.642236847964426,14.61871869296881,18.82911311648587
2018-09-24 21:15:00.000003,3.024316342988424,12.20199918446103,12.89510115269075,9.706276108386353,14.65810804263486,18.83859551614565
2018-09-24 21:29:59.999997,3.285747650816167,12.23608961943267,12.93891471825078,9.756911431132439,14.69314564163256,18.84758379531053
2018-09-24 21:45:00.000000,3.507960573451574,12.26640454558573,12.97837267000561,9.800471421001916,14.72453459612232,18.85596751220164
2018-09-24 22:00:00.000003,3.691092828120154,12.29280596430466,13.01324023452313,9.837336751458292,14.75240628809581,18.86368016486989
2018-09-24 22:14:59.999997,3.820382583851112,12.31429615928998,13.04253850293521,9.865444551016118,14.77615765064717,18.87061195151545
2018-09-24 22:30:00.000000,3.903917569956642,12.33093480376027,13.06610101131324,9.885504402955801,14.79559925783722,18.87667079803059
2018-09-24 22:45:00.000003,3.925468971976987,12.34171340085007,13.08293332066284,9.895336397043607,14.81004937512113,18.88173528151584
2018-09-24 22:59:59.999997,3.881628927326446,12.34601541828676,13.09226391936553,9.894086890060516,14.81891540008473,18.88567475641724
2018-09-24 23:15:00.000000,3.776083420780552,12.34375883855592,13.09381729798736,9.882013327993958,14.82192332252906,18.88838147836587
2018-09-24 23:30:00.000003,3.5992963940035,12.33427642017933,13.08688239074861,9.857787051673654,14.81855836735203,18.88974102265897
2018-09-24 23:44:59.999997,3.355049874143472,12.31752446722444,13.07123919719257,9.821707397336509,14.80859159704422,18.88965982532788
2018-09-25 00:00:00.000000,3.06109366278475,12.29462076955653,13.04773780653927,9.77643166871968,14.79248724733371,18.88811894113601
2018-09-25 00:15:00.000003,2.71888949657338,12.26791115979722,13.02033113136411,9.724536043613742,14.77786317545618,18.88854021903292
2018-09-25 00:29:59.999997,2.352464940569241,12.2385656649473,12.98987713650252,9.668424264305372,14.76260124987216,18.890302475822
2018-09-25 00:45:00.000000,1.95796793063693,12.20569080280625,12.95483534586164,9.606836809693895,14.74295351436228,18.89142682004037
2018-09-25 01:00:00.000003,1.565694136727183,12.17042353488356,12.91573863657728,9.543346022801181,14.71837051507877,18.89078589504319
2018-09-25 01:14:59.999997,1.146786360742768,12.1316066485587,12.8717423290904,9.4747655267349,14.68855529887743,18.88806165629235
2018-09-25 01:30:00.000000,0.7423342763905842,12.09151058385705,12.82494319473279,9.406422782341375,14.65522413738054,18.88348756257782
2018-09-25 01:45:00.000003,0.329931484986575,12.04994460622518,12.77567696197493,9.336420518554913,14.61907117355739,18.87740426226268
2018-09-25 01:59:59.999997,-0.07631425581061599,12.00764429491111,12.7248616618585,9.266451947350177,14.58105264922036,18.87016743252617
2018-09-25 02:15:00.000000,-0.4627109602335306,11.96578001221415,12.67384023083676,9.1987006078572,14.54232351905575,18.86212463812817
2018-09-25 02:30:00.000003,-0.8454583367400765,11.92400083025429,12.62265997494789,9.131512200342707,14.50316362537448,18.85352668010001
2018-09-25 02:44:59.999997,-1.200229860234446,11.88369375235037,12.57268111814696,9.068027806029585,14.46457616571963,18.84462463082935
2018-09-25 03:00:00.000000,-1.532590882357497,11.84576611919702,12.52483056389268,9.00914504937136,14.42721595140307,18.83563212897022
2018-09-25 03:15:00.000003,-1.837398537598874,11.81107262884783,12.47999169081452,8.95623381022765,14.39172898532414,18.82673821574872
2018-09-25 03:29:59.999997,-2.111656864741292,11.77929248512072,12.43837354001133,8.909109792999033,14.35871361290844,18.8181156957424
2018-09-25 03:45:00.000000,-2.348756445652517,11.75063369206247,12.40037957553844,8.867647485261164,14.32841796588977,18.80989339247416
2018-09-25 04:00:00.000003,-2.543241999082707,11.72550175249723,12.36653554363645,8.832513588763943,14.30121450001145,18.80219202252969
2018-09-25 04:14:59.999997,-2.696971177438649,11.7040319063647,12.33712514739491,8.803652266817787,14.27734570402297,18.79511230600678
2018-09-25 04:30:00.000000,-2.797243739931543,11.68694958648183,12.31291757059583,8.782647097546445,14.25737896259928,18.78877359762188
2018-09-25 04:45:00.000003,-2.844998496065848,11.67453336816315,12.2943503555535,8.769682695989145,14.24168700481201,18.78328586572678
2018-09-25 04:59:59.999997,-2.831727513698209,11.66737147106397,12.28210077266835,8.765892440124697,14.23078252645307,18.77876426120405
2018-09-25 05:15:00.000000,-2.747579998937422,11.66624437155893,12.2770636510624,8.772712742813294,14.22533795418098,18.77534981114158
2018-09-25 05:30:00.000003,-2.589850083103644,11.67163907792509,12.2798984274664,8.790778810800385,14.22587750769399,18.77316625819119
2018-09-25 05:44:59.999997,-2.354221928218937,11.68407522619247,12.2912874593598,8.820822758452373,14.23292619278051,18.77235208557419
2018-09-25 06:00:00.000000,-2.047130482492445,11.7035092120063,12.31137256402864,8.86229038214122,14.24665474683779,18.77300827357832
2018-09-25 06:15:00.000003,-1.703968648734062,11.72830841841981,12.33874440405109,8.910937197869936,14.26614363716169,18.77511719751448
2018-09-25 06:29:59.999997,-1.317830611540123,11.75839330287037,12.37303511271861,8.967249621106701,14.29103762081518,18.77863625199232
2018-09-25 06:45:00.000000,-0.9101045652018223,11.79488153185056,12.41436171107235,9.032512488968367,14.32094308235917,18.78349403864135
2018-09-25 07:00:00.000003,-0.4808632346741782,11.83475585886182,12.46056753526723,9.101789369354858,14.35483426946023,18.78954955132374
2018-09-25 07:14:59.999997,-0.04008016121554451,11.87722866051411,12.51057189389497,9.174001898407175,14.39189225066552,18.79664475159325
2018-09-25 07:30:00.000000,0.3971727275260716,11.92111688827993,12.56305308120016,9.24699040749703,14.43122628882248,18.8046035229506
2018-09-25 07:45:00.000003,0.8212224047006981,11.96570470826537,12.61711240707119,9.319976646502544,14.47258336800422,18.81329642669945
2018-09-25 07:59:59.999997,1.251157086568485,12.01127922400618,12.67253333848786,9.393550989523016,14.51482413635842,18.82251734189562
2018-09-25 08:15:00.000000,1.654695127285681,12.05610251408924,12.72765023391896,9.465310453343104,14.55728055493444,18.83208806117912
2018-09-25 08:30:00.000003,2.050898721796137,12.10130631477224,12.78311228373266,9.542086824902064,14.60150352365629,18.84202596826858
2018-09-25 08:44:59.999997,2.424014757958812,12.14455140428787,12.83689566550826,9.610070745584105,14.6436089153918,18.85195870644136
2018-09-25 09:00:00.000000,2.785173776919597,12.18645662828742,12.88921351886062,9.675271394700014,14.68434405081842,18.86179114626974
