,Marina,ERT-MW-1A,ERT-MW-1B,MillCreek,ERT-MW-4B,MW-PD-17
2017-04-02 11:29:19.398496,0.33,11.91949697783519,12.56950957060853,9.249064294273232,14.32554357404074,18.72607921715124
2017-07-30 09:37:26.616544,0.33,11.66126086249777,12.32029513513609,9.077718265685476,14.09835765600006,18.40669004224211
2018-01-01 00:00:00.000000,0.33,11.54996403627391,12.20938308561338,8.999743445270223,13.99075818878072,18.25508916722809
2018-01-02 00:00:00.000000,0.33,11.53217199944341,12.1994913999439,8.927261989897445,13.98873738748518,18.24966792624031
2018-01-03 00:00:00.000000,0.33,11.51531493769611,12.18409666987433,8.914545050116189,13.97498515667501,18.23151395639341
2018-01-04 00:00:00.000000,0.33,11.49835944335449,12.16796013336593,8.902102661112625,13.95980226955758,18.21210631621299
2018-01-05 00:00:00.000000,0.33,11.48174340827241,12.15195310033794,8.890032331256863,13.94447606632026,18.19269800721266
2018-01-06 00:00:00.000000,0.33,11.46551087479068,12.13620409951343,8.878280097160497,13.92922375045577,18.17373041004978
2018-01-07 00:00:00.000000,0.33,11.44962595045243,12.12069535851476,8.866778273652095,13.91403780604046,18.15482735692474
2018-01-08 00:00:00.000000,0.33,11.43405063882815,12.10539934661234,8.85547327767375,13.89889210197773,18.13571875584393
2018-01-09 00:00:00.000000,0.33,11.41877063921375,12.09031939449991,8.844339065798598,13.88382806638664,18.11679478239786
2018-01-10 00:00:00.000000,0.33,11.46156578566661,12.12434110310157,9.029510716583982,13.91855740063133,18.1414547321638
2018-01-11 00:00:00.000000,0.33,11.42881377979611,12.09798078842123,8.856943368855372,13.89161912330954,18.12163974223298
2018-01-12 00:00:00.000000,0.33,11.63388130542832,12.27025382994948,9.590485534198045,14.06590579487383,18.27366557648296
2018-01-13 00:00:00.000000,0.33,11.79102235352413,12.41499891774046,9.8073627432214,14.2204574114325,18.44678423322838
2018-01-14 00:00:00.000000,0.33,11.69452477773657,12.34908004619226,9.060043852688917,14.15458005369855,18.42472001991239
2018-01-15 00:00:00.000000,0.33,11.67030568726082,12.32871992460411,9.04000596579169,14.13639324617385,18.40479552185013
2018-01-16 00:00:00.000000,0.33,11.64765049219777,12.30922609016878,9.022233393610962,14.11861467523559,18.38487816131347
2018-01-17 00:00:00.000000,0.33,11.62618981083736,12.29037573277517,9.005878778001932,14.10112148878975,18.36509277341366
2018-01-18 00:00:00.000000,0.33,11.60580902072456,12.27213218384442,8.991238888771116,14.08394411938915,18.34546028024162
2018-01-19 00:00:00.000000,0.33,11.58651957161855,12.2545490978313,8.97927714274502,14.06722344404828,18.32602013196613
2018-01-20 00:00:00.000000,0.33,11.56792147383138,12.23735671902657,8.966926458394173,14.05063980429668,18.30671139749644
2018-01-21 00:00:00.000000,0.33,11.56884500098089,12.23627096502715,9.022006765131072,14.05140889837041,18.30208166342308
2018-01-22 00:00:00.000000,0.33,11.55656409974599,12.2252276589792,8.996430962444196,14.04109404414472,18.29067026993369
2018-01-23 00:00:00.000000,0.33,11.54918246017792,12.21809844526947,9.000520274369126,14.03548865322969,18.28236643640393
2018-01-24 00:00:00.000000,0.33,11.86284221551909,12.4824746058185,10.13911430812697,14.30525505963546,18.52345764804815
2018-01-25 00:00:00.000000,0.33,11.74059465090938,12.40055636689828,9.103593293808975,14.22224323703651,18.50054165422894
2018-01-26 00:00:00.000000,0.33,11.716888065741,12.38032441696241,9.08356087836512,14.20395178413667,18.48138495414575
2018-01-27 00:00:00.000000,0.33,11.69455443480364,12.36084136963462,9.065581703506275,14.18570922425093,18.46141634835502
2018-01-28 00:00:00.000000,0.33,11.70769437261727,12.37059910458194,9.179985876820954,14.19799433931405,18.4654219777113
2018-01-29 00:00:00.000000,0.33,11.76414788014804,12.41869284347668,9.376571276692976,14.24803239656181,18.50925072025383
2018-01-30 00:00:00.000000,0.33,11.89475144974113,12.53273399964555,9.735399354573715,14.36523575178508,18.61951790946224
2018-01-31 00:00:00.000000,0.33,11.81300210382563,12.47445320424701,9.159716968091477,14.3054231285047,18.59609918931223
2018-02-01 00:00:00.000000,0.33,11.78825767787354,12.45318436719291,9.139355487558957,14.28580579542669,18.575523756464
2018-02-02 00:00:00.000000,0.33,11.84176475686016,12.49924267911476,9.393567612082531,14.33812097774303,18.61505500980845
2018-02-03 00:00:00.000000,0.33,11.7949986202535,12.46361964892009,9.145372300141986,14.30192795536757,18.59360324327911
2018-02-04 00:00:00.000000,0.33,11.7724696520238,12.44372719191269,9.127707036169735,14.28326939760047,18.57360910140303
2018-02-05 00:00:00.000000,0.33,11.91875543876589,12.56599033796268,9.710921560546108,14.41107292997165,18.67913026843345
2018-02-06 00:00:00.000000,0.33,12.00140854524478,12.64481982720447,9.753567857372465,14.49234221342502,18.77336987871416
2018-02-07 00:00:00.000000,0.33,11.9255134182871,12.59016281670583,9.248908556090631,14.4362174298235,18.74926401364741
2018-02-08 00:00:00.000000,0.33,12.06166079567241,12.70463700253314,9.808195672105258,14.55742444773666,18.8500378746767
2018-02-09 00:00:00.000000,0.33,11.98404650212332,12.64885773245839,9.29420395665927,14.50028571516085,18.82545841586641
2018-02-10 00:00:00.000000,0.33,11.95733273622268,12.62614527833756,9.272359568536393,14.47958465788416,18.80416820707999
2018-02-11 00:00:00.000000,0.33,12.30448052947525,12.91510341403869,10.59304751975553,14.78721122975367,19.08950363701198
2018-02-12 00:00:00.000000,0.33,12.62878008930128,13.21520466561961,11.07118975496062,15.09442382443149,19.40409853595281
2018-02-13 00:00:00.000000,0.33,12.43763162601728,13.09137048588716,9.628284638705223,14.9645415393596,19.37408580530811
2018-02-14 00:00:00.000000,0.33,12.40089734585071,13.06241349900028,9.602111317141757,14.94051896939366,19.35064427696199
2018-02-15 00:00:00.000000,0.33,12.44132316978295,13.09826333855965,9.849043901445627,14.98495863717631,19.38146109074869
2018-02-16 00:00:00.000000,0.33,12.43249083387914,13.09574606750256,9.772824592085046,14.98619688183645,19.39168484344708
2018-02-17 00:00:00.000000,0.33,12.40355107060638,13.0743121501078,9.674243855739284,14.96757229460694,19.379808843391
2018-02-18 00:00:00.000000,0.33,12.48621115068698,13.14400390757595,10.02395694830439,15.04567490785309,19.44212928086144
2018-02-19 00:00:00.000000,0.33,12.50531223076213,13.1669757871134,9.952974045530214,15.07163850164373,19.48042142342305
