#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -1523.96 gwf_0-102-1001
1 30 26 -42.2603 gwf_0-108-1004
1 19 34 -6094.8 gwf_0-97-1012
2 13 41 -4343.15 gwf_1-91-1019
2 14 45 -2416.08 gwf_1-92-1023
2 14 45 -2427.98 gwf_1-92-1023
2 15 44 -2713.63 gwf_1-93-1022
2 15 45 -2713.63 gwf_1-93-1023
2 15 45 -2713.63 gwf_1-93-1023
2 17 40 -866.25 gwf_1-95-1018
2 17 40 -866.25 gwf_1-95-1018
2 17 41 -5197.5 gwf_1-95-1019
2 17 41 -6428.84 gwf_1-95-1019
2 17 41 -4844.58 gwf_1-95-1019
2 18 40 -2702.07 gwf_1-96-1018
2 19 34 -6054.44 gwf_1-97-1012
